ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
5/24/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.1064,12.792,2.02,Fujino (1955),
6/5/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.4112,15.471,2.283,Fujino (1955),
5/16/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.4112,12.55,2.214,Fujino (1955),
5/30/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.716,16.151,2.693,Fujino (1955),
5/31/4950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.716,15.959,2.567,Fujino (1955),
8/22/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,10.0584,9.851,1.094,Omura (1950),
8/26/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,10.668,11.931,1.203,Omura (1950),
8/22/1949,Physeter_macrocephalus,Others_wet,SpermJ,F,N,wet,NP,10.9728,11.962,1.196,Omura (1950),
8/11/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.5824,14.277,1.351,Omura (1950),
9/19/1949,Physeter_macrocephalus,Others_wet,SpermJ,F,N,wet,NP,11.5824,13.838,1.432,Omura (1950),
9/4/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.8872,16.114,1.469,Omura (1950),
9/26/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.8872,16.814,1.476,Omura (1950),
10/14/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,13.4112,23.898,2.283,Omura (1950),
4/21/1948,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,14.0208,28.92,2.75,Omura (1950),
4/24/1948,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,14.3256,28.16,2.93,Omura (1950),
9/13/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,14.9352,32.232,3.275,Omura (1950),
4/23/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,15.8496,37.713,3.136,Omura (1950),
4/21/1948,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,16.4592,41.73,3.55,Omura (1950),
H No.  3,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.9352,36.586,4.633,Ohno and Fujino (1952),
H No.  37,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.9352,34.467,4.469,Ohno and Fujino (1952),
H No.  104,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.0208,29.954,3.653,Ohno and Fujino (1952),
H No.  117,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,15.5448,37.007,5.291,Ohno and Fujino (1952),
H No.  200,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,15.8496,39.925,5.588,Ohno and Fujino (1952),
H No.  202,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.6304,32.383,4.524,Ohno and Fujino (1952),
H No.  203,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.6304,34.394,4.723,Ohno and Fujino (1952),
H No.  204,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.0208,31.674,4.486,Ohno and Fujino (1952),
N No.  5,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,16.4592,42.792,6.602,Ohno and Fujino (1952),
N No.  7,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,16.1544,46.846,6.776,Ohno and Fujino (1952),
N No.  36,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,15.5448,43.014,5.953,Ohno and Fujino (1952),
N No.  76,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,16.4592,51.695,7.93,Ohno and Fujino (1952),
N No.  125,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.9352,38.942,5.973,Ohno and Fujino (1952),
N No.  103,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,13.716,26.251,4.083,Ohno and Fujino (1952),
N No.  159,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,15.5448,41.373,5.642,Ohno and Fujino (1952),
N No.  166,Physeter_macrocephalus,Others_wet,SpermA,M,N,wet,Ant,14.6304,39.084,5.727,Ohno and Fujino (1952),
596,Megaptera_novaeangliae,Others_wet,Humpback,F,N,wet,U,12.4968,24.817,3.774,Ohno and Fujino (1952),
68B,Eubalaena_japonica,Others_wet,Right,F,N,wet,U,12.6,28.917,3.517,Omura et al. (1969),
62A,Eubalaena_japonica,Others_wet,Right,F,N,wet,U,14.1,47.555,6.928,Omura et al. (1969),
62B,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,14.7,52.894,9.229,Omura et al. (1969),
61C,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,15.1,55.254,7.465,Omura et al. (1969),
68A,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,15.2,48.562,4.769,Omura et al. (1969),
63B,Eubalaena_japonica,Others_wet,Right,F,Y,wet,U,15.4,62.341,8.499,Omura et al. (1969),
62C,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,16.1,67.769,9.383,Omura et al. (1969),
63A,Eubalaena_japonica,Others_wet,Right,F,Y,wet,U,16.1,74.299,9.598,Omura et al. (1969),
63C,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,16.4,78.499,10.403,Omura et al. (1969),
61B,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,17,65.76,8.897,Omura et al. (1969),
61A,Eubalaena_japonica,Others_wet,Right,M,N,wet,U,17.1,67.239,9.992,Omura et al. (1969),
A2937,Eubalaena_australis,Others_dry,Eubalaena_australis,F,U,dry,U,14,42.435,1.849,Robineau and Buffrenil (1976),
A2936,Balaena_mysticetus,Others_dry,Balaena_mysticetus,M,U,dry,U,14.76,49.885,2.023,Robineau and Buffrenil (1976),
A5804,Megaptera_novaeangliae,Others_dry,Megaptera_novaeangliae,F,U,dry,U,13.37,34.582,1.209,Robineau and Buffrenil (1976),
A5805,Balaenoptera_musculus,Blue_dry,Balaenoptera_musculus,M,U,dry,U,23.29,80.454,2.958,Robineau and Buffrenil (1976),
A5806,Balaenoptera_musculus,Blue_dry,Balaenoptera_musculus,F,U,dry,U,24.15,90.516,3.393,Robineau and Buffrenil (1976),
A5681,Physeter_macrocephalus,Others_dry,Physeter_macrocephalus,M,U,dry,U,14.52,32.941,1.67,Robineau and Buffrenil (1976),
Pontoporia_blainvillei-Bu1990,Pontoporia_blainvillei,Others_dry,P_bl,U,U,dry,U,,0.0245,0.00084,Bianucci et al. (2023),
Phocoena_phocoena-Bu1990,Phocoena_phocoena,Others_dry,P_pho,U,U,dry,U,,0.0443,0.0016,Bianucci et al. (2023),
Steno_bredanensis-Bu1990,Steno_bredanensis,Others_dry,S_bre,U,U,dry,U,,0.081,0.00359,Bianucci et al. (2023),
Tursiops_truncatus-Bu1990,Tursiops_truncatus,Others_dry,T_tru,U,U,dry,U,,0.238,0.0088,Bianucci et al. (2023),
Grampus_griseus-Bu1990,Grampus_griseus,Others_dry,G_gri,U,U,dry,U,,0.28,0.01141,Bianucci et al. (2023),
Mesoplodon_europaeus-Bu1990,Mesoplodon_europaeus,Others_dry,M_eu,U,U,dry,U,,0.857,0.01906,Bianucci et al. (2023),
Mesoplodon_mirus-Bu1990,Mesoplodon_mirus,Others_dry,M_mi,U,U,dry,U,,0.9295,0.02373,Bianucci et al. (2023),
Mesoplodon_carlhubbsi-Bu1990,Mesoplodon_carlhubbsi,Others_dry,M_ca,U,U,dry,U,,1.432,0.03236,Bianucci et al. (2023),
1041,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.26,0.019,0.00076,Buffrenil (1985),0.04
1087,Delphinus_delphis,Others_dry,Common,M,U,dry,U,0.99,0.0085,0.0004638,Buffrenil (1985),0.054564706
1220,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.17,,0.00078,Buffrenil (1985),#DIV/0!
1282,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.45,,0.0011945,Buffrenil (1985),#DIV/0!
975,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.48,,0.0014016,Buffrenil (1985),#DIV/0!
1073,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.71,0.058,0.001997,Buffrenil (1985),0.034431034
1081,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.74,0.055,0.0019619,Buffrenil (1985),0.035670909
1226,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.63,0.047,0.0018567,Buffrenil (1985),0.039504255
987,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.65,,0.0019273,Buffrenil (1985),#DIV/0!
998,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.77,,0.0021653,Buffrenil (1985),#DIV/0!
1102,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.77,0.066,0.0022949,Buffrenil (1985),0.034771212
1194,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.8,0.065,0.00265434,Buffrenil (1985),0.040836
1242,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.87,0.063,0.0021594,Buffrenil (1985),0.03427619
1244,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.8,0.06,0.0019431,Buffrenil (1985),0.032385
1280,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.84,0.07,0.0021208,Buffrenil (1985),0.030297143
1286,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.79,,0.0023347,Buffrenil (1985),#DIV/0!
1570,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.43,0.03,0.0013038,Buffrenil (1985),0.04346
1065,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.89,,0.0024306,Buffrenil (1985),#DIV/0!
1213,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.73,0.072,0.0025268,Buffrenil (1985),0.035094444
1113,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.94,0.071,0.0034219,Buffrenil (1985),0.048195775
1173,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.75,,0.0022144,Buffrenil (1985),#DIV/0!
1611,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.98,0.09,0.0031971,Buffrenil (1985),0.035523333
1521,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.2,0.072,0.0034152,Buffrenil (1985),0.047433333
1650,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.7,0.048,0.0019163,Buffrenil (1985),0.039922917
1064,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.8,,0.002281,Buffrenil (1985),#DIV/0!
1114,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.87,0.062,0.0025259,Buffrenil (1985),0.040740323
1192,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.87,,0.0024941,Buffrenil (1985),#DIV/0!
1552,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.77,0.053,0.0018781,Buffrenil (1985),0.035435849
1056,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.95,0.056,0.0025714,Buffrenil (1985),0.045917857
1649,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.96,0.096,0.0030024,Buffrenil (1985),0.031275
1669,Delphinus_delphis,Others_dry,Common,M,U,dry,U,1.9,0.0805,0.0027607,Buffrenil (1985),0.03429441
953,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.99,,0.0029249,Buffrenil (1985),#DIV/0!
1083,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.87,0.059,0.0029174,Buffrenil (1985),0.049447458
1276,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.01,0.0825,0.0030294,Buffrenil (1985),0.03672
1520,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.1,0.078,0.0033116,Buffrenil (1985),0.04245641
1078,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.04,0.078,0.0032044,Buffrenil (1985),0.041082051
1149,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.15,,0.0040757,Buffrenil (1985),#DIV/0!
1167,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,0.111,0.003415,Buffrenil (1985),0.030765766
1191,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.2,,0.0047484,Buffrenil (1985),#DIV/0!
1235,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.71,0.053,0.0021408,Buffrenil (1985),0.040392453
1186,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2,0.081,0.0033634,Buffrenil (1985),0.041523457
1505,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.02,0.09,0.0037101,Buffrenil (1985),0.041223333
963,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.28,,0.0039902,Buffrenil (1985),#DIV/0!
1079,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.11,0.1065,0.0034253,Buffrenil (1985),0.032162441
1196,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.95,0.067,0.0025235,Buffrenil (1985),0.037664179
1503,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.15,0.086,0.0030776,Buffrenil (1985),0.035786047
1039,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.04,0.075,0.0033232,Buffrenil (1985),0.044309333
1278,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.23,0.13,0.0045537,Buffrenil (1985),0.035028462
957,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.12,,0.0034981,Buffrenil (1985),#DIV/0!
1068,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.99,,0.0031129,Buffrenil (1985),#DIV/0!
1221,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.1,,0.0038553,Buffrenil (1985),#DIV/0!
1260,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.02,0.086,0.0030365,Buffrenil (1985),0.03530814
1162,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,,0.0036949,Buffrenil (1985),#DIV/0!
1012,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.98,,0.0029705,Buffrenil (1985),#DIV/0!
1169,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.95,0.11,0.0029879,Buffrenil (1985),0.027162727
1281,Delphinus_delphis,Others_dry,Common,M,U,dry,U,2.22,,0.0047495,Buffrenil (1985),#DIV/0!
1265,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.08,0.083,0.0037599,Buffrenil (1985),0.0453
1126,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.98,0.098,0.0029987,Buffrenil (1985),0.03059898
1237,Delphinus_delphis,Others_dry,Common,F,U,dry,U,1.99,0.093,0.0032026,Buffrenil (1985),0.034436559
1541,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.06,0.086,0.0031678,Buffrenil (1985),0.036834884
1290,Delphinus_delphis,Others_dry,Common,F,U,dry,U,2.1,,0.0035431,Buffrenil (1985),#DIV/0!
